Q,A
子帳戶的申請資格是什麼？,加開子帳戶方式如下： 具備臺幣活期儲蓄存款、綜合活期儲蓄存款、國泰世華數位存款帳戶(3-1類、2類、1-2類及1-1類)能開啟子帳戶，開啟方式說明： 登入 CUBE App，點選【臺幣總額】 > 選擇母帳戶右方更多功能 >【新增子帳戶】，每一母帳戶下共可加開５組子帳戶。
我己完成開戶申請，但卻接到email通知要補件資料，該怎麼辦？,若您填寫的資訊或上傅的證件不清楚時，審核人員將會寄送補件通知到您的email信箱。您可以從email上的補件連結進行補件，補件後審核人員將會繼續帳戶審核，若14天内未完成補件，原申請資料將會清除，屆時您將需要重新申請開戶。
請問國泰世華銀行已經開辦線上等值新臺幣五十萬以上的換匯了嗎?,是的，為提升國泰世華銀行數位服務功能，本行已於2022/3/8開辦線上等值新臺幣五十萬以上之換匯服務，目前僅限於CUBE App下載【國泰世華憑證】後方可交易（限換匯交易）。
本人國泰帳戶互轉適用的帳戶包含哪些?,包含您於本行名下的活期儲蓄存款帳戶、數位存款帳戶等皆可相互轉帳。但不包含私銀帳戶、聯名戶、籌備處、獨資戶、政治獻金戶、備償戶、全權委託戶等帳戶類別。
我要如何申請網路銀行之「基金」服務?,請您本人攜帶身分證正本與原留印鑑，至本行各營業單位申請電子化服務辦理特定金錢信託投資國內外有價證券功能，並申請網路轉帳服務後，即可利用網路銀行辦理基金申購（含定期定額）、贖回、轉換等服務。
我想了解網路銀行「預借現金」設定成功後，為何入帳結果會失敗呢？,本行預借現金轉入他行帳戶部分比照國內匯款方式辦理，因非即時作業，雖「網路銀行預借現金」之交易結果為【已設定成功】，但收款人戶名、帳戶或其他匯款資料有誤，入帳行(解款行)將會執行退匯，您可向入帳行查詢或可向本行客服中心聯絡，確認最終結果。若您的姓名非本人姓名，請與本行客服中心聯絡，若欲更改姓名，請備妥戶籍謄本影本及身分證影本電洽本行客服專線辦理 02-8751-1313。
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
